school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja
柏原東高校,38,府立,共学,普通,柏原市,osaka,大阪府
豊中高校能勢分校,38,府立,共学,総合,豊能郡能勢町,osaka,大阪府
泉尾高校,37,府立,共学,普通,大阪市大正区,osaka,大阪府
茨田高校,36,府立,共学,普通,大阪市鶴見区,osaka,大阪府
勝山高校,36,府立,共学,普通,大阪市生野区,osaka,大阪府
神戸高校,77,県立,共学,総合理学,神戸市灘区,hyogo,兵庫県
長田高校,75,県立,共学,普通/人文・数理探究,神戸市長田区,hyogo,兵庫県
姫路西高校,74,県立,共学,国際理学,姫路市,hyogo,兵庫県
加古川東高校,73,県立,共学,理数,加古川市,hyogo,兵庫県
長田高校,72,県立,共学,普通,神戸市長田区,hyogo,兵庫県
兵庫高校,72,県立,共学,創造科学,神戸市長田区,hyogo,兵庫県
宝塚北高校,72,県立,共学,グローバルサイエンス,宝塚市,hyogo,兵庫県
神戸高校,71,県立,共学,普通,神戸市灘区,hyogo,兵庫県
小野高校,70,県立,共学,科学探究,小野市,hyogo,兵庫県
姫路西高校,70,県立,共学,普通,姫路市,hyogo,兵庫県
兵庫高校,70,県立,共学,普通,神戸市長田区,hyogo,兵庫県
明石北高校,69,県立,共学,自然科学,明石市,hyogo,兵庫県
加古川東高校,68,県立,共学,普通,加古川市,hyogo,兵庫県
御影高校,68,県立,共学,総合人文,神戸市東灘区,hyogo,兵庫県
姫路東高校,68,県立,共学,普通,姫路市,hyogo,兵庫県
星陵高校,66,県立,共学,普通,神戸市垂水区,hyogo,兵庫県
北摂三田高校,66,県立,共学,普通/人間科学類型,三田市,hyogo,兵庫県
龍野高校,66,県立,共学,総合自然科学,たつの市,hyogo,兵庫県
小野高校,65,県立,共学,普通,小野市,hyogo,兵庫県
加古川西高校,64,県立,共学,国際市民,加古川市,hyogo,兵庫県
御影高校,64,県立,共学,普通,神戸市東灘区,hyogo,兵庫県
尼崎稲園高校,64,県立,共学,普通,尼崎市,hyogo,兵庫県
川西緑台高校,63,県立,共学,総合理数,川西市,hyogo,兵庫県
姫路飾西高校,63,県立,共学,サイエンス・サーベイ,姫路市,hyogo,兵庫県
北須磨高校,63,県立,共学,普通,神戸市須磨区,hyogo,兵庫県
北摂三田高校,63,県立,共学,普通,三田市,hyogo,兵庫県
姫路飾西高校,62,県立,共学,普通,姫路市,hyogo,兵庫県
宝塚北高校,62,県立,共学,普通,宝塚市,hyogo,兵庫県
加古川西高校,61,県立,共学,普通,加古川市,hyogo,兵庫県
三田祥雲館高校,61,県立,共学,普通,三田市,hyogo,兵庫県
西宮高校,61,県立,共学,普通,西宮市,hyogo,兵庫県
柏原高校,61,県立,共学,知の探究,丹波市,hyogo,兵庫県
八鹿高校,61,県立,共学,自然科学,養父市,hyogo,兵庫県
姫路飾西高校,61,県立,共学,グローバル・コミュニケーション,姫路市,hyogo,兵庫県
豊岡高校,61,県立,共学,理数,豊岡市,hyogo,兵庫県
明石城西高校,61,県立,共学,グローバル探究,明石市,hyogo,兵庫県
明石西高校,61,県立,共学,国際人間,明石市,hyogo,兵庫県
篠山鳳鳴高校,60,県立,共学,総合科学,篠山市,hyogo,兵庫県
淡路三原高校,60,県立,共学,サイエンス,南あわじ市,hyogo,兵庫県
夢野台高校,60,県立,共学,普通,神戸市長田区,hyogo,兵庫県
明石北高校,60,県立,共学,普通,明石市,hyogo,兵庫県
須磨東高校,59,県立,共学,普通,神戸市須磨区,hyogo,兵庫県
相生高校,59,県立,共学,自然科学,相生市,hyogo,兵庫県
兵庫県立大学附属高校,59,県立,共学,総合科学,赤穂郡上郡町,hyogo,兵庫県
龍野高校,59,県立,共学,普通,たつの市,hyogo,兵庫県
国際高校,58,県立,共学,国際,芦屋市,hyogo,兵庫県
小野高校,58,県立,共学,ビジネス探究,小野市,hyogo,兵庫県
川西緑台高校,58,県立,共学,普通,川西市,hyogo,兵庫県
津名高校,58,県立,共学,総合科学,淡路市,hyogo,兵庫県
東播磨高校,58,県立,共学,普通,加古郡稲美町,hyogo,兵庫県
尼崎小田高校,58,県立,共学,サイエンスリサーチ,尼崎市,hyogo,兵庫県
姫路南高校,58,県立,共学,普通,姫路市大津区,hyogo,兵庫県
伊川谷北高校,57,県立,共学,普通,神戸市西区,hyogo,兵庫県
洲本高校,57,県立,共学,普通,洲本市,hyogo,兵庫県
神戸鈴蘭台高校,57,県立,共学,国際コミュニケーション,神戸市北区,hyogo,兵庫県
西脇高校,57,県立,共学,普通,西脇市,hyogo,兵庫県
豊岡高校,57,県立,共学,普通,豊岡市,hyogo,兵庫県
鳴尾高校,57,県立,共学,国際文化情報,西宮市,hyogo,兵庫県
芦屋高校,56,県立,共学,普通,芦屋市,hyogo,兵庫県
伊丹高校,56,県立,共学,普通,伊丹市,hyogo,兵庫県
加古川北高校,56,県立,共学,普通,加古川市,hyogo,兵庫県
須磨友が丘高校,56,県立,共学,総合,神戸市須磨区,hyogo,兵庫県
生野高校,56,県立,共学,普通/地域探求類型,朝来市,hyogo,兵庫県
相生高校,56,県立,共学,普通,相生市,hyogo,兵庫県
姫路工業高校,56,県立,共学,電子機械,姫路市,hyogo,兵庫県
姫路商業高校,56,県立,共学,情報科学,姫路市,hyogo,兵庫県
宝塚西高校,56,県立,共学,国際教養,宝塚市,hyogo,兵庫県
明石城西高校,56,県立,共学,普通,明石市,hyogo,兵庫県
鳴尾高校,56,県立,共学,普通,西宮市,hyogo,兵庫県
神戸鈴蘭台高校,55,県立,共学,普通,神戸市北区,hyogo,兵庫県
西宮高校,55,県立,共学,音楽,西宮市,hyogo,兵庫県
姫路工業高校,55,県立,共学,電気,姫路市,hyogo,兵庫県
福崎高校,55,県立,共学,総合科学,神崎郡福崎町,hyogo,兵庫県
三木高校,54,県立,共学,普通,三木市,hyogo,兵庫県
神戸商業高校,54,県立,共学,情報,神戸市垂水区,hyogo,兵庫県
尼崎小田高校,54,県立,共学,国際探求,尼崎市,hyogo,兵庫県
尼崎北高校,54,県立,共学,普通,尼崎市,hyogo,兵庫県
宝塚西高校,54,県立,共学,普通,宝塚市,hyogo,兵庫県
北条高校,54,県立,共学,人間創造,加西市,hyogo,兵庫県
明石高校,54,県立,共学,美術,明石市,hyogo,兵庫県
明石高校,54,県立,共学,普通,明石市,hyogo,兵庫県
伊丹北高校,53,県立,共学,総合,伊丹市,hyogo,兵庫県
三木高校,53,県立,共学,国際総合,三木市,hyogo,兵庫県
八鹿高校,53,県立,共学,普通,養父市,hyogo,兵庫県
舞子高校,53,県立,共学,普通,神戸市垂水区,hyogo,兵庫県
福崎高校,53,県立,共学,普通,神崎郡福崎町,hyogo,兵庫県
龍野北高校,53,県立,共学,看護,たつの市,hyogo,兵庫県
