school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja,area_code,daynight_ratio
置戸高校,39,道立,共学,福祉,常呂郡置戸町,hokkaido,北海道,,
当別高校,39,道立,共学,園芸デザイン,石狩郡当別町,hokkaido,北海道,,
鵡川高校,39,道立,共学,普通,勇払郡むかわ町,hokkaido,北海道,,
湧別高校,39,道立,共学,普通,紋別郡湧別町,hokkaido,北海道,,
利尻高校,39,道立,共学,普通,利尻郡利尻町,hokkaido,北海道,,
岩内高校,38,道立,共学,地域差産業ビジネス,岩内郡岩内町,hokkaido,北海道,,
倶知安農業高校,38,道立,共学,生産科学,虻田郡倶知安町,hokkaido,北海道,,
更別農業高校,38,道立,共学,生活科学,河西郡更別村,hokkaido,北海道,,
松前高校,38,道立,共学,普通,松前郡松前町,hokkaido,北海道,,
中標津高校,38,道立,共学,総合ビジネス,標津郡中標津町,hokkaido,北海道,,
福島商業高校,38,道立,共学,商業,松前郡福島町,hokkaido,北海道,,
別海高校,38,道立,共学,酪農経営,野付郡別海町,hokkaido,北海道,,
紋別高校,38,道立,共学,電子機械,紋別市,hokkaido,北海道,01219,99.93942
利尻高校,38,道立,共学,商業,利尻郡利尻町,hokkaido,北海道,,
上富良野高校,37,道立,共学,普通,空知郡上富良野町,hokkaido,北海道,,
八雲高校,37,道立,共学,総合ビジネス,二海郡八雲町,hokkaido,北海道,,
富川高校,37,道立,共学,普通,沙流郡日高町,hokkaido,北海道,,
礼文高校,37,道立,共学,普通,礼文郡礼文町,hokkaido,北海道,,
苫前商業高校,36,道立,共学,商業,苫前郡苫前町,hokkaido,北海道,,
奈井江商業高校,36,道立,共学,情報処理,空知郡奈井江町,hokkaido,北海道,,
旭川凌雲高校,56,道立,共学,普通,旭川市,hokkaido,北海道,01204,100.62632
函館稜北高校,54,道立,共学,普通,函館市,hokkaido,北海道,01202,102.79308
旭川東栄高校,49,道立,共学,普通,旭川市,hokkaido,北海道,01204,100.62632
伊達緑丘高校,48,道立,共学,普通,伊達市,hokkaido,北海道,01233,95.30219
伊達緑丘高校,48,道立,共学,普通,伊達市,hokkaido,北海道,07213,89.03846
女満別高校,45,道立,共学,普通,網走郡大空町,hokkaido,北海道,,
小樽商業高校,43,道立,共学,情報処理,小樽市,hokkaido,北海道,01203,101.94301
小清水高校,41,道立,共学,普通,斜里郡小清水町,hokkaido,北海道,,
小樽工業高校,41,道立,共学,建設,小樽市,hokkaido,北海道,01203,101.94301
小樽工業高校,41,道立,共学,電気,小樽市,hokkaido,北海道,01203,101.94301
小樽工業高校,41,道立,共学,電子機械,小樽市,hokkaido,北海道,01203,101.94301
小樽商業高校,41,道立,共学,商業,小樽市,hokkaido,北海道,01203,101.94301
共和高校,40,道立,共学,普通,岩内郡共和町,hokkaido,北海道,,
熊石高校,40,道立,共学,普通,二海郡八雲町,hokkaido,北海道,,
新得高校,39,道立,共学,普通,上川郡新得町,hokkaido,北海道,,
留萌高校,39,道立,共学,情報ビジネス,留萌市,hokkaido,北海道,01212,101.45808
根室西高校,38,道立,共学,普通,根室市,hokkaido,北海道,01223,100.55355
滝上高校,38,道立,共学,普通,紋別郡滝上町,hokkaido,北海道,,
幕別高校,38,道立,共学,普通,中川郡幕別町,hokkaido,北海道,,
